games,decisions,time,value_error,policy_error
15700,21830,2188.180291891098,2359.932569149584,2516
15800,21967,2203.2941088676453,2406.3352257921442,2514
15900,22101,2217.440957069397,2517.052751064082,2574
16000,22257,2235.0503623485565,2420.888998924148,2552
16100,22393,2249.473901748657,2305.6651642329307,2376
16200,22537,2265.9679794311523,2442.5703552431596,2682
16300,22676,2281.0772569179535,2405.085796638831,2411
16400,22819,2296.9988598823547,2393.832681274273,2465
16500,22958,2312.2947685718536,2305.7034396494964,2547
16600,23096,2327.020786046982,2417.3722636993125,2289
16700,23237,2342.9598019123077,2288.270097081401,2333
16800,23378,2358.029842376709,2430.1090311102716,2742
16900,23517,2372.57076048851,2340.6282083011984,2360
17000,23663,2388.9786036014557,2264.3768894991476,2422
17100,23793,2402.880542039871,2494.4060245561636,2239
17200,23932,2430.9072902202606,2393.9831277905732,2353
17300,24065,2457.065261363983,2283.658246946702,2566
17400,24198,2482.6398346424103,2299.719781621011,2310
17500,24337,2510.37064909935,2217.425096958783,2485
17600,24480,2538.407223701477,2191.056577453156,2234
17700,24624,2551.6574211120605,2159.674215250618,2347
17800,24759,2564.045866727829,2110.4286400495007,2303
17900,24895,2586.98312830925,2210.020579183519,2291
18000,25027,2612.0147409439087,2272.9735624969544,2341
18100,25166,2639.7863647937775,2260.220574279912,2254
18200,25299,2665.3054831027985,2496.3644640938837,2222
18300,25457,2699.1162753105164,2264.702947393279,2313
18400,25601,2728.052193880081,2115.334859821458,2249
18500,25748,2759.885748386383,2078.451671234654,2169
18600,25894,2792.811005115509,1957.751012786196,2208
18700,26031,2822.0746417045593,1969.3987147270411,2182
18800,26162,2851.274647474289,1976.587731645469,2181
18900,26307,2877.302679538727,1970.3693375870562,2312
19000,26445,2890.6494352817535,2243.894326467368,2150
19100,26591,2904.1843824386597,2089.6465562230196,2140
19200,26735,2917.5584530830383,2162.5726059770996,2144
19300,26871,2929.9478487968445,2209.55464674834,2140
19400,27008,2942.572907447815,2124.918910426367,2132
19500,27150,2955.886585712433,1962.2628240465901,2168
19600,27285,2968.4625091552734,1995.8763076732714,2118
19700,27419,2980.723403453827,2046.7813160156913,2125
19800,27561,2994.007122039795,2095.24191516535,2142
19900,27709,3008.8753061294556,1904.7877489695766,2099
20000,27854,3022.547773361206,1911.712079120417,2148
20100,27990,3035.0125975608826,2072.1481994304186,2023
