hand_value,soft_hand,dealer_card,occurrence,hit_frequency,stay_frequency,expected_value
16,True,7,0.00047899274668126453,1.0,0.0,0.03145485001260525
17,True,7,0.0006842753524018064,1.0,0.0,0.033505255069916785
18,True,7,0.0008895579581223484,0.15384615384615385,0.8461538461538461,0.34551464563499523
19,True,7,0.0012316956343232516,0.16666666666666666,0.8333333333333334,0.4927935931517986
20,True,7,0.001573833310524155,0.21739130434782608,0.782608695652174,0.6238581768232823
21,True,7,0.0020528260572054194,0.23333333333333334,0.7666666666666667,0.7525735437249917
4,False,8,6.842753524018066e-05,1.0,0.0,-0.21950812827418345
5,False,8,6.842753524018066e-05,1.0,0.0,-0.25414826668225515
6,False,8,0.00020528260572054194,1.0,0.0,-0.29485690999808317
7,False,8,0.00020528260572054194,1.0,0.0,-0.2907999445481232
8,False,8,0.0004105652114410839,1.0,0.0,-0.15547711739955775
9,False,8,0.00047899274668126453,1.0,0.0,-0.015186140747175423
10,False,8,0.0007527028876419871,1.0,0.0,0.0843873668771532
11,False,8,0.0008895579581223484,1.0,0.0,0.10277477662765527
12,False,8,0.0038319419734501163,1.0,0.0,-0.26801564358783375
13,False,8,0.004584644861092104,1.0,0.0,-0.3451085638213431
14,False,8,0.005679485424934994,1.0,0.0,-0.37996546804055586
15,False,8,0.006705898453537704,1.0,0.0,-0.4557710435217397
16,False,8,0.008006021623101135,0.8547008547008547,0.1452991452991453,-0.5266838828420694
17,False,8,0.009169289722184207,0.0,1.0,-0.47078747258760506
18,False,8,0.010743123032708362,0.0,1.0,-0.005536800583771235
19,False,8,0.011974818667031614,0.0,1.0,0.44674844846382117
20,False,8,0.013617079512795949,0.0,1.0,0.6103467109640842
21,False,8,0.014917202682359382,0.0,1.0,0.7324943699795735
4,True,8,0.0,,,
5,True,8,0.0,,,
6,True,8,0.0,,,
7,True,8,0.0,,,
8,True,8,0.0,,,
9,True,8,0.0,,,
10,True,8,0.0,,,
11,True,8,0.0,,,
12,True,8,6.842753524018066e-05,1.0,0.0,-0.027293847351502063
13,True,8,0.0001368550704803613,1.0,0.0,-0.06733651490241192
14,True,8,0.00020528260572054194,1.0,0.0,-0.06022828488085467
15,True,8,0.0003421376762009032,1.0,0.0,-0.04361055110787343
16,True,8,0.00047899274668126453,1.0,0.0,0.0075787469417436205
17,True,8,0.0006842753524018064,1.0,0.0,-0.050041239306467714
18,True,8,0.0008895579581223484,0.23076923076923078,0.7692307692307693,0.13051519686170018
19,True,8,0.0012316956343232516,0.16666666666666666,0.8333333333333334,0.5029570005539199
20,True,8,0.001573833310524155,0.21739130434782608,0.782608695652174,0.6381862611085541
21,True,8,0.0020528260572054194,0.23333333333333334,0.7666666666666667,0.7555307248589813
4,False,9,6.842753524018066e-05,1.0,0.0,-0.2773069167475359
