weights,accuracy,time
"[1.6847368837908956, 1.5470494800651013, 1.594404900000001, 1.0566556110000005, 1.3045131000000008, 1.0781100000000003, 1.4494590000000007, 0.9801000000000002, 0.81, 1.0, 1.0890000000000002, 1.0781100000000003, 1.0890000000000002, 1.2100000000000002, 1.3310000000000004, 0.9, 0.8910000000000001, 1.1, 0.9, 1.1, 1.1, 0.9900000000000001, 0.7290000000000001, 1.0, 0.9, 1.0890000000000002, 0.9, 1.2100000000000002, 1.0, 1.0, 1.3176900000000005, 1.2100000000000002, 1.1, 1.0, 1.0, 1.1, 1.0, 1.0, 1.1, 1.0, 1.0, 0.9900000000000001]",0.48,1.7179913520812988
"[1.8532105721699852, 1.5470494800651013, 1.594404900000001, 1.0566556110000005, 1.3045131000000008, 1.0781100000000003, 1.4494590000000007, 0.9801000000000002, 0.81, 1.0, 1.0890000000000002, 1.0781100000000003, 1.0890000000000002, 1.2100000000000002, 1.3310000000000004, 0.9, 0.8910000000000001, 1.1, 0.9, 1.1, 1.1, 0.9900000000000001, 0.7290000000000001, 1.0, 0.9, 1.0890000000000002, 0.9, 1.2100000000000002, 1.0, 1.0, 1.3176900000000005, 1.2100000000000002, 1.1, 1.0, 1.0, 1.1, 1.0, 1.0, 1.1, 1.0, 1.0, 0.9900000000000001]",0.57,1.8272647857666016
"[1.6678895149529867, 1.5470494800651013, 1.594404900000001, 1.0566556110000005, 1.3045131000000008, 1.0781100000000003, 1.4494590000000007, 0.9801000000000002, 0.81, 1.0, 1.0890000000000002, 1.0781100000000003, 1.0890000000000002, 1.2100000000000002, 1.3310000000000004, 0.9, 0.8910000000000001, 1.1, 0.9, 1.2100000000000002, 1.1, 0.9900000000000001, 0.7290000000000001, 1.0, 0.9, 1.0890000000000002, 0.9, 1.2100000000000002, 1.0, 1.0, 1.3176900000000005, 1.2100000000000002, 1.2100000000000002, 1.0, 1.0, 1.1, 1.0, 1.0, 1.1, 1.0, 1.0, 0.9900000000000001]",0.42,2.0394387245178223
"[1.8346784664482854, 1.5470494800651013, 1.594404900000001, 1.0566556110000005, 1.3045131000000008, 1.1859210000000004, 1.4494590000000007, 0.9801000000000002, 0.81, 1.0, 1.0890000000000002, 1.0781100000000003, 1.0890000000000002, 1.2100000000000002, 1.3310000000000004, 0.9, 0.8910000000000001, 1.1, 0.9, 1.2100000000000002, 1.1, 0.9900000000000001, 0.7290000000000001, 1.0, 0.9, 1.0890000000000002, 0.9, 1.2100000000000002, 1.0, 1.0, 1.3176900000000005, 1.2100000000000002, 1.2100000000000002, 1.0, 1.0, 1.1, 1.0, 1.0, 1.1, 1.0, 1.0, 0.9900000000000001]",0.53,1.6904494762420654
"[2.018146313093114, 1.5470494800651013, 1.594404900000001, 1.0566556110000005, 1.1740617900000008, 1.1859210000000004, 1.594404900000001, 0.9801000000000002, 0.81, 1.0, 1.0890000000000002, 1.0781100000000003, 1.0890000000000002, 1.2100000000000002, 1.3310000000000004, 0.9, 0.8910000000000001, 1.1, 0.9, 1.3310000000000004, 1.1, 0.9900000000000001, 0.7290000000000001, 1.0, 0.9, 1.0890000000000002, 0.9, 1.2100000000000002, 1.0, 1.0, 1.3176900000000005, 1.2100000000000002, 1.0890000000000002, 1.0, 1.0, 1.1, 1.0, 1.0, 1.1, 1.0, 1.0, 0.9900000000000001]",0.51,1.7119107246398926
"[2.2199609444024255, 1.3923445320585912, 1.594404900000001, 1.0566556110000005, 1.1740617900000008, 1.1859210000000004, 1.594404900000001, 0.9801000000000002, 0.7290000000000001, 1.0, 1.0890000000000002, 1.0781100000000003, 1.0890000000000002, 1.2100000000000002, 1.3310000000000004, 0.9, 0.8910000000000001, 1.1, 0.9, 1.3310000000000004, 1.1, 0.9900000000000001, 0.7290000000000001, 1.0, 0.9, 1.0890000000000002, 0.9, 1.2100000000000002, 1.0, 1.0, 1.3176900000000005, 1.2100000000000002, 1.0890000000000002, 1.0, 1.0, 1.1, 1.0, 1.0, 1.1, 1.0, 1.0, 0.9900000000000001]",0.49,1.7939941883087158
"[1.997964849962183, 1.3923445320585912, 1.4349644100000007, 1.0566556110000005, 1.1740617900000008, 1.1859210000000004, 1.594404900000001, 0.9801000000000002, 0.7290000000000001, 1.0, 1.1979000000000004, 1.0781100000000003, 1.0890000000000002, 1.2100000000000002, 1.3310000000000004, 0.9, 0.8910000000000001, 1.1, 0.9, 1.3310000000000004, 1.1, 0.9900000000000001, 0.7290000000000001, 1.0, 0.9, 1.0890000000000002, 0.9, 1.2100000000000002, 1.0, 1.0, 1.3176900000000005, 1.2100000000000002, 1.0890000000000002, 1.0, 1.0, 1.1, 1.0, 1.0, 1.1, 1.0, 1.0, 0.9900000000000001]",0.41,1.8955397605896
"[1.997964849962183, 1.3923445320585912, 1.4349644100000007, 1.1623211721000006, 1.291467969000001, 1.1859210000000004, 1.594404900000001, 1.0781100000000003, 0.7290000000000001, 1.0, 1.1979000000000004, 1.0781100000000003, 1.0890000000000002, 1.2100000000000002, 1.3310000000000004, 0.9, 0.8910000000000001, 0.9900000000000001, 0.9, 1.3310000000000004, 1.1, 0.9900000000000001, 0.7290000000000001, 1.0, 0.9, 1.0890000000000002, 0.9, 1.2100000000000002, 1.0, 1.0, 1.3176900000000005, 1.2100000000000002, 1.0890000000000002, 1.0, 1.0, 1.1, 1.0, 1.0, 1.1, 1.0, 1.0, 0.9900000000000001]",0.5,1.918639659881592
"[2.1977613349584013, 1.3923445320585912, 1.2914679690000006, 1.1623211721000006, 1.291467969000001, 1.1859210000000004, 1.594404900000001, 1.0781100000000003, 0.7290000000000001, 1.1, 1.1979000000000004, 1.0781100000000003, 1.0890000000000002, 1.2100000000000002, 1.3310000000000004, 0.9, 0.8910000000000001, 0.9900000000000001, 0.9, 1.3310000000000004, 1.1, 0.9900000000000001, 0.7290000000000001, 1.0, 0.9, 1.0890000000000002, 0.9, 1.2100000000000002, 1.0, 1.0, 1.3176900000000005, 1.2100000000000002, 1.0890000000000002, 1.0, 1.0, 1.1, 1.0, 1.0, 1.1, 1.0, 1.0, 0.9900000000000001]",0.52,1.9773015975952148
"[1.9779852014625612, 1.3923445320585912, 1.2914679690000006, 1.1623211721000006, 1.162321172100001, 1.1859210000000004, 1.594404900000001, 1.0781100000000003, 0.7290000000000001, 1.1, 1.1979000000000004, 1.0781100000000003, 1.0890000000000002, 1.2100000000000002, 1.3310000000000004, 0.9, 0.8910000000000001, 0.9900000000000001, 0.9, 1.3310000000000004, 1.1, 0.9900000000000001, 0.7290000000000001, 1.1, 0.9, 1.1979000000000004, 0.9, 1.2100000000000002, 1.0, 1.0, 1.3176900000000005, 1.2100000000000002, 1.0890000000000002, 1.0, 1.0, 1.1, 1.0, 1.0, 1.1, 1.0, 1.0, 0.9900000000000001]",0.54,1.94803786277771
